  i=10/216 triples=219928 keys=1115017 circles=15157 t=357.6s
  i=20/216 triples=419496 keys=2004019 circles=28512 t=698.4s
  i=30/216 triples=599636 keys=2696012 circles=38359 t=995.5s
  i=40/216 triples=761176 keys=3241511 circles=46667 t=1241.5s
  i=50/216 triples=905222 keys=3694984 circles=56788 t=1450.8s
  i=60/216 triples=1032900 keys=4036852 circles=65400 t=1657.2s
  i=70/216 triples=1145076 keys=4284778 circles=70885 t=1837.2s
  i=80/216 triples=1242736 keys=4490986 circles=76730 t=1998.0s
  i=90/216 triples=1326988 keys=4650308 circles=82909 t=2134.8s
  i=100/216 triples=1398800 keys=4762142 circles=87234 t=2255.7s
  i=110/216 triples=1459110 keys=4836476 circles=89842 t=2352.3s
  i=120/216 triples=1508884 keys=4900424 circles=93343 t=2427.7s
  i=130/216 triples=1549240 keys=4943479 circles=96046 t=2488.4s
  i=140/216 triples=1581148 keys=4968176 circles=97508 t=2536.1s
  i=150/216 triples=1605516 keys=4985490 circles=98819 t=2572.5s
  i=160/216 triples=1623408 keys=4996963 circles=100346 t=2597.6s
  i=170/216 triples=1635880 keys=5002947 circles=101177 t=2617.5s
  i=180/216 triples=1643896 keys=5005412 circles=101502 t=2630.6s
  i=190/216 triples=1648232 keys=5005413 circles=101945 t=2638.4s
  i=200/216 triples=1650160 keys=5005413 circles=102084 t=2640.5s
  i=210/216 triples=1650664 keys=5005413 circles=102124 t=2640.9s
triples: 1650664 non-collinear, 5696 collinear; distinct sphere/plane keys: 5005413; circles: 102124; 2640.9s
